file_name,k,gold_count,predicted_count,hits,precision,recall,f1
Decision Trees Revised.pptx,1,2,1,1,1.0,0.5,0.6666666666666666
Decision Trees Revised.pptx,3,2,3,2,0.6666666666666666,1.0,0.8
Decision Trees Revised.pptx,5,2,5,2,0.4,1.0,0.5714285714285715
HandsOn1_Window_Functions.md,1,2,1,1,1.0,0.5,0.6666666666666666
HandsOn1_Window_Functions.md,3,2,3,1,0.3333333333333333,0.5,0.4
HandsOn1_Window_Functions.md,5,2,5,1,0.2,0.5,0.28571428571428575
Introduction to Pandas_.pptx,1,3,1,1,1.0,0.3333333333333333,0.5
Introduction to Pandas_.pptx,3,3,3,3,1.0,1.0,1.0
Introduction to Pandas_.pptx,5,3,5,3,0.6,1.0,0.7499999999999999
Lecture - Decision Trees.ipynb,1,3,1,1,1.0,0.3333333333333333,0.5
Lecture - Decision Trees.ipynb,3,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
Lecture - Decision Trees.ipynb,5,3,5,2,0.4,0.6666666666666666,0.5
Lecture - Pandas Basics.ipynb,1,4,1,0,0.0,0.0,0.0
Lecture - Pandas Basics.ipynb,3,4,3,2,0.6666666666666666,0.5,0.5714285714285715
Lecture - Pandas Basics.ipynb,5,4,5,3,0.6,0.75,0.6666666666666665
Lecture_ML_Workflow.ipynb,1,4,1,1,1.0,0.25,0.4
Lecture_ML_Workflow.ipynb,3,4,3,2,0.6666666666666666,0.5,0.5714285714285715
Lecture_ML_Workflow.ipynb,5,4,5,2,0.4,0.5,0.4444444444444445
ML Workflow Introduction.pptx,1,4,1,1,1.0,0.25,0.4
ML Workflow Introduction.pptx,3,4,3,3,1.0,0.75,0.8571428571428571
ML Workflow Introduction.pptx,5,4,5,4,0.8,1.0,0.888888888888889
Prompt_Engineering.ipynb,1,2,1,1,1.0,0.5,0.6666666666666666
Prompt_Engineering.ipynb,3,2,3,1,0.3333333333333333,0.5,0.4
Prompt_Engineering.ipynb,5,2,5,2,0.4,1.0,0.5714285714285715
Retrieval_Augmented_Generation.ipynb,1,3,1,0,0.0,0.0,0.0
Retrieval_Augmented_Generation.ipynb,3,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
Retrieval_Augmented_Generation.ipynb,5,3,5,2,0.4,0.6666666666666666,0.5
SQL_Foundations_for_Data_Science.pptx,1,3,1,1,1.0,0.3333333333333333,0.5
SQL_Foundations_for_Data_Science.pptx,3,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
SQL_Foundations_for_Data_Science.pptx,5,3,5,2,0.4,0.6666666666666666,0.5
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,1,2,1,1,1.0,0.5,0.6666666666666666
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,3,2,3,2,0.6666666666666666,1.0,0.8
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,5,2,5,2,0.4,1.0,0.5714285714285715
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,1,2,1,1,1.0,0.5,0.6666666666666666
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,3,2,3,2,0.6666666666666666,1.0,0.8
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,5,2,5,2,0.4,1.0,0.5714285714285715
