file_name,source_tag,rank,mapped_skill,similarity_score
Decision Trees Revised.pptx,decision tree intuition,1,Communication systems and protocols design,0.8049
Decision Trees Revised.pptx,decision tree intuition,2,Machine Learning (ML),0.7923
Decision Trees Revised.pptx,decision tree intuition,3,"Artificial intelligence, machine learning and deep learning application",0.7913
Decision Trees Revised.pptx,Gini impurity,1,5G RAN architecture,0.7734
Decision Trees Revised.pptx,Gini impurity,2,O-RU design and development,0.77
Decision Trees Revised.pptx,Gini impurity,3,Electronic circuit boards design and integration,0.7692
Decision Trees Revised.pptx,entropy and information gain,1,Threat intelligence and detection,0.8103
Decision Trees Revised.pptx,entropy and information gain,2,Knowledge of big data tools and platforms,0.7949
Decision Trees Revised.pptx,entropy and information gain,3,Energy management and efficiency,0.7931
Decision Trees Revised.pptx,root node / best split selection,1,RAN architecture,0.8068
Decision Trees Revised.pptx,root node / best split selection,2,Web pages optimization,0.7856
Decision Trees Revised.pptx,root node / best split selection,3,Communication systems and protocols design,0.7785
Decision Trees Revised.pptx,Gini impurity worked calculation across candidate features,1,O-RU design and development,0.7808
Decision Trees Revised.pptx,Gini impurity worked calculation across candidate features,2,Radio intelligent controller development,0.7792
Decision Trees Revised.pptx,Gini impurity worked calculation across candidate features,3,Data processing,0.7777
Decision Trees Revised.pptx,"numeric feature threshold selection (sorted values, midpoint testing)",1,Software applications test design,0.7912
Decision Trees Revised.pptx,"numeric feature threshold selection (sorted values, midpoint testing)",2,Data collection and analysis,0.7895
Decision Trees Revised.pptx,"numeric feature threshold selection (sorted values, midpoint testing)",3,Applications development,0.7865
Decision Trees Revised.pptx,recursive tree construction (root to leaf),1,RAN architecture,0.7737
Decision Trees Revised.pptx,recursive tree construction (root to leaf),2,5G RAN architecture,0.7717
Decision Trees Revised.pptx,recursive tree construction (root to leaf),3,Machine Learning (ML),0.7678
Decision Trees Revised.pptx,max_depth tuning,1,Web pages optimization,0.7813
Decision Trees Revised.pptx,max_depth tuning,2,Machine Learning (ML),0.7813
Decision Trees Revised.pptx,max_depth tuning,3,"Artificial intelligence, machine learning and deep learning application",0.7745
Decision Trees Revised.pptx,min_samples_split,1,Small cell design and optimization,0.786
Decision Trees Revised.pptx,min_samples_split,2,RAN architecture,0.7817
Decision Trees Revised.pptx,min_samples_split,3,Wireless network planning and optimization,0.7725
Decision Trees Revised.pptx,min_samples_leaf,1,Small cell design and optimization,0.783
Decision Trees Revised.pptx,min_samples_leaf,2,Wireless network planning and optimization,0.776
Decision Trees Revised.pptx,min_samples_leaf,3,Machine Learning (ML),0.7749
Decision Trees Revised.pptx,max_features,1,Web pages optimization,0.7815
Decision Trees Revised.pptx,max_features,2,Knowledge of big data tools and platforms,0.7693
Decision Trees Revised.pptx,max_features,3,Automation tool proficiency,0.7675
Decision Trees Revised.pptx,pre-pruning,1,Pre-sales preparation,0.8001
